YEAR,POS,PLAYER,TEAM,MatCH,Inns,NO,Runs,HS,out ,Avg,BF,SR,100,50,4s,6s
2008,1,Shaun Marsh,PBKS,11,11,2,616,115,OUT,68.44,441,139.68,1,5,59,26
2008,2,Gautam Gambhir,DC,14,14,1,534,86,OUT,41.07,379,140.89,0,5,68,8
2008,3,Sanath Jayasuriya,MI,14,14,2,518,114*,NOT OUT,43.16,309,167.63,1,2,58,31
2008,4,Shane Watson,RR,15,15,5,472,76*,NOT OUT,47.2,311,151.76,0,4,47,19
2008,5,Graeme Smith,RR,11,11,2,441,91,OUT,49,362,121.82,0,3,54,8
2008,6,Adam Gilchrist,PBKS,14,14,1,436,109*,NOT OUT,33.53,318,137.1,1,3,51,19
2008,7,Yusuf Pathan,RR,16,15,1,435,68,OUT,31.07,243,179.01,0,4,43,25
2008,8,Suresh Raina,CSK,16,14,3,421,55*,NOT OUT,38.27,296,142.22,0,3,35,18
2008,9,MS Dhoni,CSK,16,14,4,414,65,OUT,41.4,310,133.54,0,2,38,15
2008,10,Virender Sehwag,DC,14,14,2,406,94*,NOT OUT,33.83,220,184.54,0,3,46,21
2008,11,Rohit Sharma,DEC,13,12,1,404,76*,NOT OUT,36.72,273,147.98,0,4,38,19
2008,12,Rahul Dravid,RCB,14,14,1,371,75*,NOT OUT,28.53,298,124.49,0,2,35,11
2008,13,Sourav Ganguly,KKR,13,13,1,349,91,OUT,29.08,307,113.68,0,3,33,15
2008,14,Shikhar Dhawan,DC,14,14,5,340,68*,NOT OUT,37.77,295,115.25,0,4,35,8
2008,15,Kumar Sangakkara,PBKS,10,9,0,320,94,OUT,35.55,198,161.61,0,4,41,8
2008,16,Robin Uthappa,MI,14,14,5,320,48,OUT,35.55,279,114.69,0,0,34,9
2008,17,David Hussey,KKR,13,13,2,319,71,OUT,29,259,123.16,0,2,19,17
2008,18,Swapnil Asnodkar,RR,9,9,0,311,60,OUT,34.55,233,133.47,0,2,43,6
2008,19,Parthiv Patel,CSK,13,13,2,302,54,OUT,27.45,297,101.68,0,2,42,3
2008,20,Yuvraj Singh,PBKS,15,14,1,299,57,OUT,23,184,162.5,0,1,24,19
2008,21,Venugopal Rao,DEC,11,10,2,288,71*,NOT OUT,36,210,137.14,0,2,22,15
2008,22,Albie Morkel,CSK,13,10,3,241,71,OUT,34.42,163,147.85,0,1,18,14
2008,23,Mark Boucher,RCB,10,10,3,225,50*,NOT OUT,32.14,177,127.11,0,1,24,6
2008,24,James Hopes,PBKS,11,11,0,221,71,OUT,20.09,148,149.32,0,2,27,8
2008,25,Abhishek Nayar,MI,14,10,2,206,45*,NOT OUT,25.75,138,149.27,0,0,16,9
2008,26,Jacques Kallis,RCB,11,11,0,199,54,OUT,18.09,183,108.74,0,1,23,4
2008,27,Stephen Fleming,CSK,10,10,1,196,45,OUT,21.77,164,119.51,0,0,27,3
2008,28,Salman Butt,KKR,7,7,0,193,73,OUT,27.57,161,119.87,0,1,30,2
2008,29,Subramaniam Badrinath,CSK,16,11,5,192,64,OUT,32,130,147.69,0,2,21,8
2008,30,Matthew Hayden,CSK,4,4,1,189,81,OUT,63,131,144.27,0,2,24,6
2008,31,Brendon McCullum,KKR,4,4,1,188,158*,NOT OUT,62.66,92,204.34,1,0,13,15
2008,32,Sachin Tendulkar,MI,7,7,1,188,65,OUT,31.33,177,106.21,0,1,26,2
2008,33,Mahela Jayawardena,PBKS,13,12,5,179,45*,NOT OUT,25.57,131,136.64,0,0,15,7
2008,34,Dwayne Bravo,MI,9,7,1,178,64*,NOT OUT,29.66,134,132.83,0,1,19,5
2008,35,Mohammad Kaif,RR,16,14,3,176,34*,NOT OUT,16,171,102.92,0,0,14,6
2008,36,Michael Hussey,CSK,4,3,1,168,116*,NOT OUT,84,100,168,1,0,12,11
2008,37,Herschelle Gibbs,DEC,9,9,0,167,47,OUT,18.55,153,109.15,0,0,17,8
2008,38,Virat Kohli,RCB,13,12,1,165,38,OUT,15,157,105.09,0,0,18,4
2008,39,Laxmi Ratan Shukla,KKR,13,12,4,163,42,OUT,20.37,122,133.6,0,0,17,5
2008,40,Andrew Symonds,DEC,4,3,1,161,117*,NOT OUT,80.5,105,153.33,1,0,15,9
2008,41,Wriddhiman Saha,KKR,12,10,5,159,59*,NOT OUT,31.8,119,133.61,0,1,12,7
2008,42,VVS Laxman,DEC,6,6,1,155,52,OUT,31,132,117.42,0,1,22,1
2008,43,Luke Pomersbach,PBKS,5,5,4,152,79*,NOT OUT,152,99,153.53,0,1,13,9
2008,44,Ross Taylor,RCB,4,4,0,149,53,OUT,37.25,81,183.95,0,1,13,10
2008,45,Shaun Pollock,MI,13,8,0,147,33,OUT,18.37,111,132.43,0,0,12,8
2008,46,Vidyut Sivaramakrishnan,CSK,9,8,0,145,54,OUT,18.12,109,133.02,0,1,21,3
2008,47,Dinesh Karthik,DC,13,8,2,145,56*,NOT OUT,24.16,107,135.51,0,1,13,4
2008,48,Ravindra Jadeja,RR,14,9,2,135,36*,NOT OUT,19.28,103,131.06,0,0,11,6
2008,49,Irfan Pathan,PBKS,14,10,4,131,40,OUT,21.83,116,112.93,0,0,9,6
2008,50,Kamran Akmal,RR,6,6,1,128,53*,NOT OUT,25.6,78,164.1,0,1,13,8
2008,51,MF Maharoof,DC,10,8,2,125,39,OUT,20.83,79,158.22,0,0,10,7
2008,52,Misbah-ul-Haq,RCB,8,8,1,117,47*,NOT OUT,16.71,81,144.44,0,0,10,6
2008,53,Wasim Jaffer,RCB,6,6,0,115,50,OUT,19.16,104,110.57,0,1,12,3
2008,54,Cameron White,RCB,8,8,1,114,31*,NOT OUT,16.28,102,111.76,0,0,8,4
2008,55,Scott Styris,DEC,8,8,2,112,36*,NOT OUT,18.66,123,91.05,0,0,9,2
2008,56,Praveen Kumar,RCB,13,12,2,112,34,OUT,11.2,98,114.28,0,0,10,6
2008,57,Dwaraka Ravi Teja,DEC,7,6,0,109,40,OUT,18.16,82,132.92,0,0,10,5
2008,58,Tillakaratne Dilshan,DC,7,7,1,104,33,OUT,17.33,79,131.64,0,0,14,3
2008,59,Manoj Tiwary,DC,9,7,3,104,39,OUT,26,85,122.35,0,0,16,0
2008,60,Niraj Patel,RR,5,4,2,103,57,OUT,51.5,81,127.16,0,1,13,1
2008,61,Debabrata Das,KKR,6,6,0,103,31,OUT,17.16,94,109.57,0,0,9,5
2008,62,Simon Katich,PBKS,2,2,1,96,75,OUT,96,69,139.13,0,1,11,2
2008,63,AB de Villiers,DC,6,6,1,95,26*,NOT OUT,19,98,96.93,0,0,5,1
2008,64,Piyush Chawla,PBKS,15,7,3,90,24*,NOT OUT,22.5,59,152.54,0,0,10,3
2008,65,Shreevats Goswami,RCB,4,3,0,82,52,OUT,27.33,85,96.47,0,1,9,1
2008,66,Shahid Afridi,DEC,10,9,1,81,33,OUT,10.12,46,176.08,0,0,7,6
2008,67,Karan Goel,PBKS,7,6,0,76,26,OUT,12.66,78,97.43,0,0,7,4
2008,68,Ramnaresh Sarwan,PBKS,4,4,0,73,31,OUT,18.25,75,97.33,0,0,6,1
2008,69,Shane Warne,RR,15,7,2,70,22*,NOT OUT,14,59,118.64,0,0,7,2
2008,70,Ajit Agarkar,KKR,9,6,1,54,20,OUT,10.8,46,117.39,0,0,5,2
2008,71,Shoaib Malik,DC,7,5,1,52,24,OUT,13,47,110.63,0,0,5,0
2008,72,Arjun Yadav,DEC,8,6,1,49,16,OUT,9.8,39,125.64,0,0,5,2
2008,73,Sanjay Bangar,DEC,11,7,1,47,17*,NOT OUT,7.83,49,95.91,0,0,1,3
2008,74,Balachandra Akhil,RCB,7,7,4,46,27*,NOT OUT,15.33,31,148.38,0,0,4,3
2008,75,Dwayne Smith,MI,4,3,0,45,20,OUT,15,40,112.5,0,0,5,1
2008,76,Aakash Chopra,KKR,5,5,0,42,24,OUT,8.4,52,80.76,0,0,5,0
2008,77,LPC Silva,DEC,3,3,1,40,23*,NOT OUT,20,26,153.84,0,0,5,1
2008,78,Ricky Ponting,KKR,4,4,0,39,20,OUT,9.75,53,73.58,0,0,2,1
2008,79,Dominic Thornely,MI,6,4,2,39,30,OUT,19.5,53,73.58,0,0,2,2
2008,80,Umar Gul,KKR,6,4,1,39,24,OUT,13,19,205.26,0,0,1,5
